Address,Name Tag, Balance, Txn Count
0x1b8a38ea02ceda9440e00c1aeba26ee2dc570423,BITStorage,0.00061188 Ether,682
0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,Bittrex,14376.03456934 Ether,11314580
0xe94b04a0fed112f3664e45adb2b8915693dd5ff3,Bittrex 2,0 Ether,1653559
0x66f820a414680b5bcda5eeca5dea238543f42054,Bittrex 3,188508.65226678 Ether,182
0xaa90b4aae74cee41e004bc45e45a427406c4dcae,BitUN.io 1,0 Ether,15571
0xf8d04a720520d0bcbc722b1d21ca194aa22699f2,BitUN.io 2,0.00097022 Ether,48351
0xfb9f7f41319157ac5c5dccae308a63a4337ad5d9,Bity.com,0.48655556 Ether,105265
0x00cdc153aa8894d08207719fe921fff964f28ba3,Bitzlato,489.4710732 Ether,340292
0x25eaff5b179f209cf186b1cdcbfa463a69df4c45,Blockfolio,176865.31383073 Ether,218024
0x007174732705604bbbf77038332dc52fd5a5000c,BlockTrades Exchange,49.56122617 Ether,150982
0xdf8752caa319668006580ddf48db25a23728b926,Bololex.com,0.00084255 Ether,494
0x1c00d840ccaa67c494109f46e55cfeb2d8562f5c,BTC-Alpha Exchange,0.0000168 Ether,427
0x73957709695e73fd175582105c44743cf0fb6f2f,Bw.com,0.01486057 Ether,774145
0xd7c866d0d536937bf9123e02f7c052446588189f,C2CX: Hot Wallet,0 Ether,6840
0x88988d6ef12d7084e34814b9edafa01ae0d05082,CamboChanger 2,0 Ether,112
0x72bcfa6932feacd91cb2ea44b0731ed8ae04d0d3,Cashierest,170.77346124 Ether,251337
0x7a56f645dcb513d0326cbaa048e9106ff6d4cd5f,Catex Exchange,30.65216814 Ether,85364
0xfd648cc72f1b4e71cbdda7a0a91fe34d32abd656,ChainX,0.10233008 Ether,1552
0x96fc4553a00c117c5b0bed950dd625d1c16dc894,Changelly,0.0012092 Ether,390048
0x8958618332df62af93053cb9c535e26462c959b0,Cobinhood 1,0.09482362 Ether,272244
0xb726da4fbdc3e4dbda97bb20998cf899b0e727e0,Cobinhood 2,0.12600316 Ether,7965
0x71660c4005ba85c37ccec55d0c4493e66fe775d3,Coinbase 1,54.56539039 Ether,1132997
0x503828976d22510aad0201ac7ec88293211d23da,Coinbase 2,126.63003648 Ether,1620840
0xddfabcdc4d8ffc6d5beaf154f18b778f892a0740,Coinbase 3,12245.5887353 Ether,7093798
0x3cd751e6b0078be393132286c442345e5dc49699,Coinbase 4,11390.30466585 Ether,8687017
0xb5d85cbf7cb3ee0d56b3bb207d5fc4b82f43f511,Coinbase 5,11368.03535726 Ether,8205504
0xeb2629a2734e272bcc07bda959863f316f4bd4cf,Coinbase 6,11863.74455041 Ether,6644260
0x9539e0b14021a43cde41d9d45dc34969be9c7cb0,Coinbene,0.00098921 Ether,481949
0x33683b94334eebc9bd3ea85ddbda4a86fb461405,Coinbene: Cold Wallet,0.99772903 Ether,31734
0xb6ba1931e4e74fd080587688f6db10e830f810d5,Coindelta,0.0021802 Ether,74801
0xbf1a97d8d4229d61b031214d5bbe9a5cb1e737f9,CoinDhan,0.24377384 Ether,265
0xb9ee1e551f538a464e8f8c41e9904498505b49b0,Coinex,1.25483279 Ether,739738
0x33ddd548fe3a082d753e5fe721a26e1ab43e3598,Coinex 2,3547.61193526 Ether,124125
0x4b01721f0244e7c5b5f63c20942850e447f5a5ee,CoinExchange.io,0.49478542 Ether,973491
0xd4bddf5e3d0435d7a6214a0b949c7bb58621f37c,Coinhako,70.44119475 Ether,121284
0xf2d4766ad705e3a5c9ba5b0436b473085f82f82f,Coinhako: Warm Wallet,13265.13015638 Ether,3976
0xa270f3ad1a7a82e6a3157f12a900f1e25bc4fbfd,CoinMetro Exchange,58.72564821 Ether,67026
0x167a9333bf582556f35bd4d16a7e80e191aa6476,Coinone,12679.15754671 Ether,962187
0x1e2fcfd26d36183f1a5d90f0e6296915b02bcb40,Coinone 2,98500.89282532 Ether,66
0xd0808da05cc71a9f308d330bc9c5c81bbc26fc59,Coinswitch,0.06466426 Ether,133746
0x8705ccfd8a6df3785217c307cbebf9b793310b94,CoinW,0.51092224 Ether,124171
0xcb243bf48fb443082fae7db47ec96cb120cd6801,CoinW 2,0.68019049 Ether,108
0x429bf8ec3330e02401d72beade86000d9a2e19eb,CoinW 3,0.624836 Ether,56211
0x6f31d347457962c9811ff953742870ef5a755de3,CoinW 4,0.07504961 Ether,24746
0x0d6b5a54f940bf3d52e438cab785981aaefdf40c,COSS.io 1,2.47415066 Ether,221145
0xd1560b3984b7481cd9a8f40435a53c860187174d,COSS.io: Old Warm Wallet,0.21397654 Ether,32760
0x43f07efe28e092a0fe4ec5b5662022b461ffac80,COSS.io: Warm Wallet,0.04938769 Ether,87
0x521db06bf657ed1d6c98553a70319a8ddbac75a3,CREX24,4.97907864 Ether,302515
0x6262998ced04146fa42253a5c0af90ca02dfd2a3,Crypto.com,140080.00044267 Ether,742534
0x46340b20830761efd32832a74d7169b29feb9758,Crypto.com 2,14636.71565895 Ether,6254819
0x5baeac0a0417a05733884852aa068b706967e790,Cryptopia 1,0 Ether,519426
0x2984581ece53a4390d1f568673cf693139c97049,Cryptopia 2,0.39078397 Ether,356515
0xe17ee7b3c676701c66b395a35f0df4c2276a344e,DigiFinex,0.0070897 Ether,52066
0x2101e480e22c953b37b9d0fe6551c1354fe705e6,DMEX,23.96968225 Ether,1118
0xf1c525a488a848b58b95d79da48c21ce434290f7,Eidoo,1.11390308 Ether,9812
0x608f94df1c1d89ea13e5984d7bf107df137a6541,Eigen Fx,0 Ether,16764
0xeb9ebf2c624ebee42e0853da6443ddc6c8020de7,Eigen Fx 2,0 Ether,475
0x8d76166c22658a144c0211d87abf152e6a2d9d95,Eterbase,0.00359517 Ether,51948
0xd3808c5d48903be1490989f3fce2a2b3890e8eb6,Exchange A,0.00749664 Ether,26473
0x1fd6267f0d86f62d88172b998390afee2a1f54b6,Exmo 1,0 Ether,215295
0xd7b9a9b2f665849c4071ad5af77d8c76aa30fb32,Exmo 2,0.41921097 Ether,1740650
0x94fe3ad91dacba8ec4b82f56ff7c122181f1535d,Faa.st,0.90623477 Ether,77551
0x915d7915f2b469bb654a7d903a5d4417cb8ea7df,FCoin,0 Ether,480742
0x4e5b2e1dc63f6b91cb6cd759936495434c7e972f,FixedFloat,320.30157271 Ether,202573
0x14301566b9669b672878d86ff0b1d18dd58054e9,Flata.Exchange,3.69809355 Ether,24476
0x91e18ee76483fa2ec5cfe2959df46673c2565be0,Flybit,0.01086556 Ether,2202
0x0021845f4c2604c58f9ba5b7bff58d16a2ab372c,Folgory Exchange,0 Ether,14184
0x2faf487a4414fe77e2327f0bf4ae2a264a776ad2,FTX Exchange,307976.10390444 Ether,4386639
0xc098b2a3aa256d2140208c3de6543aaef5cd3a94,FTX Exchange 2,428035.85130469 Ether,2927965
0x0d0707963952f2fba59dd06f2b425ace40b492fe,Gate.io,101847.00730193 Ether,5208983
0x7793cd85c11a924478d358d49b05b37e91b5810f,Gate.io 2,237.90332846 Ether,11113
0x1c4b70a3968436b9a0a9cf5205c787eb81bb558c,Gate.io 3,27.32307578 Ether,38050
0xd793281182a0e3e023116004778f45c29fc14f19,Gate.io: Contract,11828.78872651 Ether,213
0x9f5ca0012b9b72e8f3db57092a6f26bf4f13dc69,GBX,0.03548489 Ether,95
0xd24400ae8bfebb18ca49be86258a3c749cf46853,Gemini,23363.80133624 Ether,3234991
0x6fc82a5fe25a5cdb58bc74600a40a69c065263f8,Gemini 2,0 Ether,324740
0x61edcdf5bb737adffe5043706e7c5bb1f1a56eea,Gemini 3,479498.95358134 Ether,349
0x5f65f7b609678448494de4c87521cdf6cef1e932,Gemini 4,0.52312188 Ether,1494073
0xb302bfe9c246c6e150af70b1caaa5e3df60dac05,Gemini 5,0 Ether,15
0x8d6f396d210d385033b348bcae9e4f9ea4e045bd,Gemini 6,0 Ether,210
0xd69b0089d9ca950640f5dc9931a41a5965f00303,Gemini 7,172464.88426345 Ether,99
0x07ee55aa48bb72dcc6e9d78256648910de513eca,Gemini: Contract 1,668601.27049071 Ether,1120
0x9fb01a2584aac5aae3fab1ed25f86c5269b32999,GGBTC.com,0.00930556 Ether,10526
0x9c67e141c0472115aa1b98bd0088418be68fd249,HitBTC 1,0.10306233 Ether,166824
0x59a5208b32e627891c389ebafc644145224006e8,HitBTC 2,1.14439287 Ether,1866228
0xa12431d0b9db640034b0cdfceef9cce161e62be4,HitBTC 3,764.91799723 Ether,1155665
0x980a4732c8855ffc8112e6746bd62095b4c2228f,Hoo.com,0.01010115 Ether,10788
0xd0ec209ad2134899148bec8aef905a6e9997456a,Hoo.com 2,0.0012955 Ether,12509
0x993b7fcba51d8f75c2dfaec0d17b6649ee0c9068,Hoo.com 3,0.0091831 Ether,9336
0xec293b9c56f06c8f71392269313d7e2da681d9ac,Hoo.com 4,0.00701402 Ether,12641
0x0093e5f2a850268c0ca3093c7ea53731296487eb,Hoo.com 5,0.92031688 Ether,171499
0x008932be50098089c6a075d35f4b5182ee549f8a,Hoo.com 6,0.08528106 Ether,25202
0x274f3c32c90517975e29dfc209a23f315c1e5fc7,Hotbit,0.03454802 Ether,1094571
0x8533a0bd9310eb63e7cc8e1116c18a3d67b1976a,Hotbit 2,1.28718802 Ether,567
0x562680a4dc50ed2f14d75bf31f494cfe0b8d10a1,Hotbit 3,654.06436246 Ether,372968
0xab5c66752a9e8167967685f1450532fb96d5d24f,Huobi 1,284.23433956 Ether,1938558
0xe93381fb4c4f14bda253907b18fad305d799241a,Huobi 10,268.14061 Ether,2664870
0xfa4b5be3f2f84f56703c42eb22142744e95a2c58,Huobi 11,381.56537387 Ether,207530
0x46705dfff24256421a05d056c29e81bdc09723b8,Huobi 12,268.36899596 Ether,1853680
0x32598293906b5b17c27d657db3ad2c9b3f3e4265,Huobi 13,4.5649119 Ether,92
0x5861b8446a2f6e19a067874c133f04c578928727,Huobi 14,240.38131434 Ether,307802
0x926fc576b7facf6ae2d08ee2d4734c134a743988,Huobi 15,245.97165317 Ether,250861
0xeec606a66edb6f497662ea31b5eb1610da87ab5f,Huobi 16,9.52922714 Ether,660407
0x7ef35bb398e0416b81b019fea395219b65c52164,Huobi 17,15.98998987 Ether,202655
0x229b5c097f9b35009ca1321ad2034d4b3d5070f6,Huobi 18,0.13569696 Ether,46
0xd8a83b72377476d0a66683cde20a8aad0b628713,Huobi 19,92.72443994 Ether,284433
0x6748f50f686bfbca6fe8ad62b22228b87f31ff2b,Huobi 2,337.31653712 Ether,1955243
0x90e9ddd9d8d5ae4e3763d0cf856c97594dea7325,Huobi 20,2.13287651 Ether,157892
0x18916e1a2933cb349145a280473a5de8eb6630cb,Huobi 21,302.80744905 Ether,1502324
0x6f48a3e70f0251d1e83a989e62aaa2281a6d5380,Huobi 22,1.14906112 Ether,195981
0xf056f435ba0cc4fcd2f1b17e3766549ffc404b94,Huobi 23,54.06083172 Ether,491279
0x137ad9c4777e1d36e4b605e745e8f37b2b62e9c5,Huobi 24,104.02167744 Ether,251073
0x5401dbf7da53e1c9dbf484e3d69505815f2f5e6e,Huobi 25,23.55360528 Ether,138968
0x034f854b44d28e26386c1bc37ff9b20c6380b00d,Huobi 26,312.15583069 Ether,360234
0x0577a79cfc63bbc0df38833ff4c4a3bf2095b404,Huobi 27,5530.6057926 Ether,413746
0x0c6c34cdd915845376fb5407e0895196c9dd4eec,Huobi 28,221.33716185 Ether,79879
0x794d28ac31bcb136294761a556b68d2634094153,Huobi 29,46588.62009584 Ether,425904
0xfdb16996831753d5331ff813c29a93c76834a0ad,Huobi 3,266.91979758 Ether,1789586
0xfd54078badd5653571726c3370afb127351a6f26,Huobi 30,300.20502587 Ether,2394137
0xb4cd0386d2db86f30c1a11c2b8c4f4185c1dade9,Huobi 31,1060.5921229 Ether,951
0x4d77a1144dc74f26838b69391a6d3b1e403d0990,Huobi 32,7.3836079 Ether,106
0x28ffe35688ffffd0659aee2e34778b0ae4e193ad,Huobi 33,4757.61046143 Ether,449380
0xcac725bef4f114f728cbcfd744a731c2a463c3fc,Huobi 34,3748.37976463 Ether,600696
0x73f8fc2e74302eb2efda125a326655acf0dc2d1b,Huobi 35,8898.08443347 Ether,404264
0x0a98fb70939162725ae66e626fe4b52cff62c2e5,Huobi 36,37361.74555032 Ether,1671919
0xf66852bc122fd40bfecc63cd48217e88bda12109,Huobi 37,43.94358298 Ether,366292
0x49517ca7b7a50f592886d4c74175f4c07d460a70,Huobi 38,0.1003465 Ether,21
0x58c2cb4a6bee98c309215d0d2a38d7f8aa71211c,Huobi 39,851.80571062 Ether,352453
0xeee28d484628d41a82d01e21d12e2e78d69920da,Huobi 4,343.00331805 Ether,1794751
0x5c985e89dde482efe97ea9f1950ad149eb73829b,Huobi 5,338.83305107 Ether,388362
0xdc76cd25977e0a5ae17155770273ad58648900d3,Huobi 6,0.43419381 Ether,781
0xadb2b42f6bd96f5c65920b9ac88619dce4166f94,Huobi 7,351.35045461 Ether,1752965
0xa8660c8ffd6d578f657b72c0c811284aef0b735e,Huobi 8,0.85617525 Ether,155932
0x1062a747393198f70f71ec65a582423dba7e5ab3,Huobi 9,294.91818497 Ether,1958543
0x3c11c3025ce387d76c2eddf1493ec55a8cc2a0f7,Idax.global,3.8516591 Ether,15307
0x51836a753e344257b361519e948ffcaf5fb8d521,Indodax 1,233.86523774 Ether,587608
0x9cbadd5ce7e14742f70414a6dcbd4e7bb8712719,Indodax 2,4.34188208 Ether,2997
0xb1a34309af7f29b4195a6b589737f86e14597ddc,IndoEx LTD,46.76689022 Ether,4228
0x352bdabe484499e4c25c3536cc3eda1edbc5ad29,KickEX,2.62472816 Ether,18572
0x2910543af39aba0cd09dbb2d50200b3e800a63d2,Kraken,17811.11431657 Ether,54798
0xae2d4617c862309a3d75a0ffb358c7a5009c673f,Kraken 10,75.39444759 Ether,471554
0x43984d578803891dfa9706bdeee6078d80cfc79e,Kraken 11,47.63191136 Ether,10047
0x66c57bf505a85a74609d2c83e94aabb26d691e1f,Kraken 12,209.17779721 Ether,81543
0xda9dfa130df4de4673b89022ee50ff26f6ea73cf,Kraken 13,2113030.00443456 Ether,66
0x0a869d79a7052c7f1b55a8ebabbea3420f0d1e13,Kraken 2,1.02605799 Ether,12217
0xe853c56864a2ebe4576a807d26fdc4a0ada51919,Kraken 3,1.59026256 Ether,222
0x267be1c1d684f78cb4f6a176c4911b741e4ffdc0,Kraken 4,59224.43997969 Ether,2620443
0xfa52274dd61e1643d2205169732f29114bc240b3,Kraken 5,0 Ether,2712919
0x89e51fa8ca5d66cd220baed62ed01e8951aa7c40,Kraken 7,338.96233873 Ether,1170947
0xc6bed363b30df7f35b601a5547fe56cd31ec63da,Kraken 8,302.37036517 Ether,158874
0x29728d0efd284d85187362faa2d4d76c2cfc2612,Kraken 9,255.30230283 Ether,37511
0xe8a0e282e6a3e8023465accd47fae39dd5db010b,Kryptono 1,0.02947003 Ether,18981
0x629a7144235259336ea2694167f3c8b856edd7dc,Kryptono 2,0.00848255 Ether,99
0x30b71d015f60e2f959743038ce0aaec9b4c1ea44,Kryptono 3,0.01 Ether,11605
0x2b5634c42055806a59e9107ed44d43c426e58258,KuCoin,1.47625761 Ether,2828288
0xcad621da75a66c7a8f4ff86d30a2bf981bfc8fdd,KuCoin 10,3512.9621281 Ether,678993
0x689c56aef474df92d44a1b70850f808488f9769c,KuCoin 2,0.23346893 Ether,1005517
0xa1d8d972560c2f8144af871db508f0b0b10a3fbf,KuCoin 3,12.73974696 Ether,2750091
0x4ad64983349c49defe8d7a4686202d24b25d0ce8,KuCoin 4,2.00297509 Ether,1876308
0x1692e170361cefd1eb7240ec13d048fd9af6d667,KuCoin 5,10597.51053901 Ether,4240
0xd6216fc19db775df9774a6e33526131da7d19a2c,KuCoin 6,141806.92087572 Ether,6162
0xe59cd29be3be4461d79c0881d238cbe87d64595a,Kucoin 7,0.09941791 Ether,424515
0x899b5d52671830f567bf43a14684eb14e1f945fe,KuCoin 8,0.04504431 Ether,216
0xf16e9b0d03470827a95cdfd0cb8a8a3b46969b91,KuCoin 9,218.80259974 Ether,715409
0xea81ce54a0afa10a027f65503bd52fba83d745b8,Kuna.io,0.09278667 Ether,248911
0x77ab999d1e9f152156b4411e1f3e2a42dab8cd6d,Kuna.io 2,309.26034033 Ether,67107
0x0861fca546225fbf8806986d211c8398f7457734,LAToken,0.00062919 Ether,34117
0x7891b20c690605f4e370d6944c8a5dbfac5a451c,LAToken 2,2423.02587447 Ether,4391
